name,email,phone,age,zipcode,income,label
Sam Nguyen,sam.nguyen@example.com,212-383-3555,21,82361,23638,0
Sam Nguyen,sam.nguyen@mail.test,489-494-3951,59,87990,40579,1
Jordan Kim,jordan.kim@example.com,414-831-4965,36,99787,69640,1
Sam Smith,sam.smith@mail.test,766-226-4701,35,96184,72064,1
Sam Lee,sam.lee@mail.test,932-430-2588,54,50736,32418,1
Casey Lee,casey.lee@mail.test,520-432-6789,47,34530,47779,1
Jordan Smith,jordan.smith@demo.org,636-980-2556,36,88052,76079,1
Casey Nguyen,casey.nguyen@example.com,602-252-8480,40,57058,49229,1
Casey Garcia,casey.garcia@example.com,480-925-1182,33,84094,58328,1
Jordan Garcia,jordan.garcia@mail.test,222-743-6565,18,84255,81627,1
Alex Garcia,alex.garcia@mail.test,273-209-8651,29,14886,54576,1
Casey Nguyen,casey.nguyen@example.com,655-765-9851,41,47387,52429,1
Riley Nguyen,riley.nguyen@mail.test,359-213-7555,51,31575,57644,1
Riley Smith,riley.smith@example.com,252-607-7846,25,49643,87801,1
Sam Lee,sam.lee@demo.org,459-404-8226,35,20100,66693,1
Riley Smith,riley.smith@mail.test,670-975-6585,65,70356,60286,1
Sam Smith,sam.smith@example.com,211-830-7046,22,17856,52135,1
Alex Nguyen,alex.nguyen@mail.test,489-959-8016,43,48169,68082,1
Jordan Garcia,jordan.garcia@example.com,915-760-8758,47,38804,69895,1
Jordan Patel,jordan.patel@example.com,640-440-8161,30,45790,43902,1
Jordan Lee,jordan.lee@mail.test,353-985-4167,36,40988,70299,1
Riley Nguyen,riley.nguyen@demo.org,925-493-7352,46,86448,57733,1
Alex Garcia,alex.garcia@example.com,542-287-7056,20,48506,60372,1
Riley Patel,riley.patel@example.com,589-524-6951,43,97904,46736,1
Riley Patel,riley.patel@example.com,356-867-8818,57,77306,54000,1
Alex Nguyen,alex.nguyen@demo.org,832-776-6738,29,22305,44548,1
Alex Kim,alex.kim@demo.org,858-336-6793,19,19969,43827,1
Alex Lee,alex.lee@mail.test,627-651-3224,28,22404,65656,1
Alex Patel,alex.patel@demo.org,397-823-7091,61,18989,54673,1
Jordan Nguyen,jordan.nguyen@mail.test,890-620-9662,45,75305,40505,1
Taylor Nguyen,taylor.nguyen@mail.test,417-928-8094,35,45983,92656,1
Taylor Garcia,taylor.garcia@demo.org,374-222-4796,30,49462,43130,1
Alex Kim,alex.kim@mail.test,434-212-4607,54,29360,76382,1
Taylor Lee,taylor.lee@demo.org,722-984-5888,39,95657,37853,1
Taylor Smith,taylor.smith@mail.test,805-912-8122,29,36287,66848,1
Alex Garcia,alex.garcia@demo.org,922-851-2316,19,75472,56242,1
Taylor Patel,taylor.patel@demo.org,300-701-6423,54,71313,50564,1
Riley Patel,riley.patel@mail.test,739-752-2378,24,44160,62951,1
Sam Garcia,sam.garcia@example.com,502-695-6777,43,16789,60934,1
Sam Nguyen,sam.nguyen@mail.test,967-426-6355,43,37181,47813,1
Alex Patel,alex.patel@demo.org,654-212-3257,41,24385,47134,1
Jordan Kim,jordan.kim@example.com,940-596-5424,29,92597,36391,1
Alex Lee,alex.lee@mail.test,365-658-4893,33,75641,64583,1
Jordan Kim,jordan.kim@mail.test,299-820-2772,40,54247,41193,1
Sam Patel,sam.patel@mail.test,361-927-9967,57,96673,60060,1
Alex Smith,alex.smith@example.com,462-473-8170,26,15544,68887,1
Casey Lee,casey.lee@demo.org,227-525-4220,49,23275,63121,1
Riley Lee,riley.lee@mail.test,739-687-2461,32,73248,49153,1
Taylor Garcia,taylor.garcia@mail.test,264-555-1234,54,44550,73632,1
Jordan Garcia,jordan.garcia@mail.test,426-724-8480,30,63693,53880,1
Casey Smith,casey.smith@mail.test,248-317-2673,22,29641,39988,1
Taylor Nguyen,taylor.nguyen@mail.test,764-243-8982,28,81749,55744,1
Taylor Lee,taylor.lee@demo.org,252-785-4748,27,90021,68802,1
Alex Smith,alex.smith@demo.org,301-991-4841,69,25605,49884,1
Taylor Garcia,taylor.garcia@mail.test,597-337-1674,30,60713,73173,1
Riley Garcia,riley.garcia@example.com,586-310-3661,58,30390,48445,1
Casey Lee,casey.lee@demo.org,216-979-4253,63,85403,50487,1
Taylor Kim,taylor.kim@example.com,735-740-9931,67,68466,44309,1
Alex Patel,alex.patel@demo.org,577-387-4923,32,13981,70256,1
Riley Garcia,riley.garcia@mail.test,318-355-3745,59,19493,59201,1
Sam Nguyen,sam.nguyen@demo.org,994-701-6818,24,81218,45304,1
Casey Nguyen,casey.nguyen@mail.test,374-933-3792,57,81318,54057,1
Taylor Garcia,taylor.garcia@demo.org,873-620-5063,45,26984,13933,1
Alex Kim,alex.kim@mail.test,935-700-9224,49,32760,71670,1
Sam Kim,sam.kim@mail.test,254-718-3803,52,11524,57439,1
Sam Smith,sam.smith@mail.test,837-211-1719,32,59402,23906,0
Jordan Nguyen,jordan.nguyen@mail.test,754-572-5579,65,75614,38150,1
Riley Smith,riley.smith@example.com,846-427-5402,53,45891,53676,1
Taylor Nguyen,taylor.nguyen@mail.test,656-359-5426,38,49832,40287,1
Alex Patel,alex.patel@example.com,975-424-9835,23,55836,71900,1
Jordan Patel,jordan.patel@example.com,815-394-9680,18,83953,66279,1
Riley Lee,riley.lee@mail.test,356-809-6345,21,23362,65393,1
Jordan Smith,jordan.smith@example.com,611-404-2102,28,76745,20935,0
Casey Garcia,casey.garcia@demo.org,323-670-9707,61,47921,52118,1
Riley Smith,riley.smith@mail.test,801-303-9584,43,80434,49536,1
Riley Garcia,riley.garcia@example.com,830-844-7683,54,28562,45689,1
Taylor Kim,taylor.kim@mail.test,477-432-6690,40,74510,53772,1
Riley Smith,riley.smith@mail.test,289-691-1025,46,86407,43106,1
Jordan Kim,jordan.kim@mail.test,224-593-8468,38,17610,63228,1
Riley Patel,riley.patel@example.com,538-466-9652,65,25791,71498,1
Taylor Patel,taylor.patel@demo.org,892-655-6102,62,68047,70206,1
Taylor Lee,taylor.lee@demo.org,611-690-2072,62,77906,57931,1
Casey Smith,casey.smith@example.com,886-763-1215,66,29665,89989,1
Jordan Kim,jordan.kim@mail.test,637-899-3606,44,80246,77100,1
Sam Garcia,sam.garcia@example.com,358-688-5781,56,75864,58477,1
Sam Patel,sam.patel@example.com,441-993-8763,57,56451,52766,1
Riley Patel,riley.patel@example.com,560-658-3295,30,96148,80070,1
Casey Garcia,casey.garcia@mail.test,765-872-2946,40,55890,75114,1
Alex Kim,alex.kim@example.com,937-214-3783,33,16794,38844,1
Riley Kim,riley.kim@mail.test,772-321-7420,47,42888,76287,1
Casey Smith,casey.smith@example.com,757-652-8557,21,16749,57684,1
Jordan Smith,jordan.smith@demo.org,493-773-3645,57,56531,47086,1
Jordan Nguyen,jordan.nguyen@example.com,645-409-2932,33,30608,30312,1
Jordan Nguyen,jordan.nguyen@example.com,422-933-6085,48,90986,55966,1
Jordan Lee,jordan.lee@demo.org,717-292-1492,59,79211,59817,1
Jordan Patel,jordan.patel@mail.test,434-819-8888,42,93996,83810,1
Casey Smith,casey.smith@mail.test,951-530-5958,61,66017,74359,1
Casey Kim,casey.kim@example.com,867-691-3743,29,67676,51257,1
Taylor Garcia,taylor.garcia@demo.org,898-289-8160,43,21560,65840,1
Sam Kim,sam.kim@mail.test,531-338-9548,54,64401,72394,1
Jordan Patel,jordan.patel@example.com,800-473-8186,65,60468,61289,1
Alex Nguyen,alex.nguyen@demo.org,510-353-1619,50,42463,51193,1
Casey Kim,casey.kim@mail.test,996-770-2296,45,41663,52017,1
Alex Lee,alex.lee@mail.test,818-444-3895,26,78706,65782,1
Alex Patel,alex.patel@demo.org,649-446-9711,29,68773,66195,1
Alex Nguyen,alex.nguyen@demo.org,340-561-9199,22,43123,55606,1
Taylor Garcia,taylor.garcia@demo.org,677-551-7976,69,19718,20713,1
Casey Nguyen,casey.nguyen@demo.org,626-238-4667,45,72637,40642,1
Alex Lee,alex.lee@example.com,799-953-6973,52,10028,69295,1
Jordan Patel,jordan.patel@demo.org,292-285-3468,22,72370,28037,1
Riley Garcia,riley.garcia@mail.test,273-747-2636,51,57599,77763,1
Alex Lee,alex.lee@mail.test,711-355-5009,63,27397,75542,1
Taylor Nguyen,taylor.nguyen@example.com,454-370-9148,51,55406,60616,1
Casey Lee,casey.lee@mail.test,927-369-5967,30,57657,68969,1
Taylor Patel,taylor.patel@mail.test,521-766-6722,56,77560,67932,1
Alex Smith,alex.smith@demo.org,989-812-5444,59,23503,58247,1
Casey Lee,casey.lee@mail.test,650-852-2196,62,64943,39392,1
Riley Lee,riley.lee@example.com,209-939-8432,65,85839,74509,1
Alex Nguyen,alex.nguyen@demo.org,637-959-4318,31,92674,81108,1
Taylor Nguyen,taylor.nguyen@demo.org,866-745-3176,28,35345,41871,1
Sam Garcia,sam.garcia@example.com,871-800-5422,59,60390,38831,1
Jordan Nguyen,jordan.nguyen@demo.org,952-603-1628,55,69557,57948,1
Taylor Kim,taylor.kim@demo.org,805-874-8778,21,75054,50607,1
Casey Patel,casey.patel@example.com,824-558-4674,50,11906,62174,1
Alex Patel,alex.patel@demo.org,917-216-5369,24,50167,78120,1
Jordan Smith,jordan.smith@example.com,884-315-5956,58,17961,26315,1
Alex Smith,alex.smith@example.com,892-290-2105,25,36140,83719,1
Casey Patel,casey.patel@mail.test,523-313-9345,54,68701,53900,1
Alex Smith,alex.smith@mail.test,603-827-4786,68,87567,67677,1
Sam Garcia,sam.garcia@demo.org,240-304-2913,27,90664,69281,1
Jordan Nguyen,jordan.nguyen@demo.org,392-600-2772,60,91199,71030,1
Jordan Patel,jordan.patel@example.com,932-779-8423,32,91218,60929,1
Casey Smith,casey.smith@demo.org,850-860-7242,55,90729,64433,1
Sam Patel,sam.patel@example.com,787-481-2132,32,38561,64335,1
Taylor Kim,taylor.kim@example.com,899-398-8470,22,60568,50546,1
Alex Lee,alex.lee@demo.org,526-353-8812,46,83302,33629,1
Riley Nguyen,riley.nguyen@example.com,604-661-3179,36,39504,41712,1
Alex Patel,alex.patel@mail.test,990-283-2422,68,47146,58436,1
Alex Lee,alex.lee@demo.org,953-827-4180,27,50297,48198,1
Taylor Smith,taylor.smith@mail.test,420-752-1614,29,96394,48233,1
Alex Lee,alex.lee@demo.org,757-693-5570,21,78607,86989,1
Sam Nguyen,sam.nguyen@example.com,470-620-4607,48,26939,72883,1
Sam Patel,sam.patel@demo.org,735-203-1289,35,60715,56219,1
Jordan Kim,jordan.kim@mail.test,632-670-4252,33,54460,70081,1
Casey Smith,casey.smith@example.com,447-827-1278,57,76576,53696,1
Riley Patel,riley.patel@demo.org,780-453-5276,53,78222,61661,1
Alex Nguyen,alex.nguyen@demo.org,880-708-4832,42,22666,66624,1
Alex Smith,alex.smith@demo.org,899-765-6445,40,72119,53736,1
Taylor Garcia,taylor.garcia@mail.test,556-849-7534,29,45321,49721,1
Casey Lee,casey.lee@mail.test,814-284-5307,51,11779,78359,1
Sam Nguyen,sam.nguyen@demo.org,714-583-6810,53,23186,69212,1
Riley Garcia,riley.garcia@example.com,541-237-5082,54,26459,26181,1
Jordan Patel,jordan.patel@example.com,710-619-4240,20,96246,49978,1
Sam Kim,sam.kim@mail.test,542-505-3749,26,97755,48281,1
Casey Smith,casey.smith@example.com,736-311-1205,35,15057,50683,1
Jordan Lee,jordan.lee@mail.test,384-581-5591,60,70663,72936,1
Taylor Smith,taylor.smith@demo.org,578-246-4811,52,28733,60288,1
Taylor Patel,taylor.patel@mail.test,750-727-6141,51,29157,39156,1
Alex Smith,alex.smith@mail.test,412-509-3708,58,45030,54252,1
Casey Lee,casey.lee@demo.org,952-471-4273,31,29613,68126,1
Riley Patel,riley.patel@example.com,231-642-9712,21,93028,56705,1
Jordan Smith,jordan.smith@mail.test,850-679-3832,46,96282,50330,1
Sam Kim,sam.kim@mail.test,759-635-1152,58,15188,64968,1
Casey Nguyen,casey.nguyen@demo.org,834-301-3800,62,39680,84273,1
Casey Patel,casey.patel@example.com,390-928-3610,67,70119,66921,1
Taylor Nguyen,taylor.nguyen@mail.test,280-688-8361,32,84400,79514,1
Alex Patel,alex.patel@demo.org,303-982-8263,45,65718,51336,1
Alex Kim,alex.kim@mail.test,622-397-4072,59,46445,59875,1
Jordan Nguyen,jordan.nguyen@demo.org,606-577-1166,33,15796,59572,1
Taylor Garcia,taylor.garcia@example.com,708-837-4664,29,57218,61780,1
Casey Lee,casey.lee@example.com,617-962-1680,69,49131,66608,1
Riley Garcia,riley.garcia@example.com,676-272-6260,22,18123,46215,1
Taylor Smith,taylor.smith@example.com,781-461-2363,51,18222,69710,1
Jordan Kim,jordan.kim@mail.test,507-444-2538,59,34074,35582,1
Jordan Garcia,jordan.garcia@mail.test,536-774-9752,18,39825,39964,1
Taylor Patel,taylor.patel@example.com,275-374-3230,56,46839,92034,1
Jordan Smith,jordan.smith@example.com,391-264-8106,49,78322,52348,1
Taylor Smith,taylor.smith@example.com,673-982-4171,43,66321,70943,1
Sam Garcia,sam.garcia@mail.test,743-327-8619,34,35988,85474,1
Taylor Garcia,taylor.garcia@example.com,568-242-2907,65,45507,25283,1
Taylor Kim,taylor.kim@example.com,618-687-5173,44,33806,76894,1
Jordan Lee,jordan.lee@example.com,469-873-5796,41,46901,69734,1
Jordan Garcia,jordan.garcia@demo.org,958-927-3972,52,27043,84606,1
Alex Garcia,alex.garcia@example.com,367-538-3240,63,85761,42277,1
Alex Nguyen,alex.nguyen@demo.org,652-482-1389,59,19752,81769,1
Sam Patel,sam.patel@demo.org,724-439-2855,56,78993,48909,1
Alex Nguyen,alex.nguyen@example.com,682-858-3763,43,52616,75822,1
Taylor Nguyen,taylor.nguyen@demo.org,791-754-2481,66,62127,59460,1
Jordan Smith,jordan.smith@example.com,288-859-8262,55,84777,71562,1
Alex Lee,alex.lee@mail.test,651-627-4093,40,10453,60733,1
Alex Patel,alex.patel@mail.test,512-718-4277,39,85432,32409,1
Sam Kim,sam.kim@mail.test,574-650-8951,21,97362,13192,1
Casey Kim,casey.kim@mail.test,794-378-5595,66,20976,63149,1
Sam Garcia,sam.garcia@demo.org,663-323-9160,26,80404,56044,1
Taylor Garcia,taylor.garcia@example.com,312-211-4197,21,91932,65973,1
Jordan Kim,jordan.kim@example.com,764-530-1139,24,87707,56218,1
Sam Garcia,sam.garcia@example.com,600-296-9708,40,99647,90271,1
Alex Lee,alex.lee@mail.test,768-268-7261,19,43688,63458,1
Jordan Nguyen,jordan.nguyen@mail.test,258-232-1049,66,96840,53296,1
Jordan Garcia,jordan.garcia@example.com,688-218-5821,41,12017,65060,1
Alex Smith,alex.smith@mail.test,396-649-3606,57,17957,53570,1
Sam Garcia,sam.garcia@example.com,878-651-7432,48,14792,61394,1
Alex Patel,alex.patel@example.com,340-283-4765,64,65982,41738,1
Casey Lee,casey.lee@example.com,590-790-7358,48,23237,59871,1
Jordan Patel,jordan.patel@example.com,602-327-6941,64,61586,52832,1
Riley Patel,riley.patel@example.com,676-959-7547,57,91787,43159,1
Riley Smith,riley.smith@example.com,228-991-7481,65,29252,89636,1
Taylor Lee,taylor.lee@example.com,913-560-7361,68,20707,43744,1
Alex Lee,alex.lee@mail.test,773-868-1201,60,44206,60104,1
Alex Lee,alex.lee@example.com,216-521-1517,51,13543,47958,1
Taylor Lee,taylor.lee@example.com,769-524-2988,41,54135,64456,1
Taylor Lee,taylor.lee@mail.test,281-673-4802,66,45031,40884,1
Taylor Smith,taylor.smith@mail.test,888-403-8162,43,52929,72605,1
Jordan Garcia,jordan.garcia@mail.test,586-977-7241,33,75747,90542,1
Casey Patel,casey.patel@example.com,544-407-6633,64,67851,47407,1
Alex Lee,alex.lee@demo.org,835-991-7309,30,65311,78255,1
Jordan Garcia,jordan.garcia@demo.org,221-353-2518,32,75867,54272,1
Taylor Garcia,taylor.garcia@mail.test,429-219-3600,44,98780,82587,1
Alex Patel,alex.patel@demo.org,347-307-4554,21,67196,92827,1
Jordan Smith,jordan.smith@mail.test,566-613-3849,33,83705,56494,1
Casey Kim,casey.kim@example.com,333-918-2306,47,67894,37196,1
Jordan Kim,jordan.kim@demo.org,977-272-8519,61,97640,74221,1
Casey Garcia,casey.garcia@example.com,759-525-5195,47,24591,63366,1
Taylor Nguyen,taylor.nguyen@demo.org,258-707-3305,53,58893,67527,1
Casey Nguyen,casey.nguyen@example.com,612-651-3642,20,10727,54902,1
Alex Patel,alex.patel@demo.org,353-465-5757,39,31359,46733,1
Taylor Kim,taylor.kim@example.com,759-447-2813,66,53822,77405,1
Alex Garcia,alex.garcia@example.com,809-613-5120,39,98534,64797,1
Riley Smith,riley.smith@demo.org,483-648-5396,67,20929,38347,1
Sam Kim,sam.kim@example.com,267-206-1816,67,70091,70303,1
Casey Garcia,casey.garcia@example.com,336-363-1082,66,90378,67293,1
Sam Garcia,sam.garcia@example.com,849-619-3093,29,33519,55121,1
Sam Lee,sam.lee@demo.org,817-461-9367,38,27393,84297,1
Casey Smith,casey.smith@demo.org,365-856-5937,21,44318,50727,1
Taylor Lee,taylor.lee@example.com,569-994-3101,48,84531,57465,1
Riley Patel,riley.patel@example.com,889-618-2779,61,57934,71530,1
Alex Lee,alex.lee@demo.org,706-540-8294,48,91103,61151,1
Jordan Lee,jordan.lee@demo.org,608-566-4676,40,38840,39234,1
Alex Kim,alex.kim@example.com,578-272-9089,37,99367,62757,1
Jordan Nguyen,jordan.nguyen@example.com,447-984-5138,32,23265,53784,1
Alex Garcia,alex.garcia@example.com,576-240-5017,40,15424,72855,1
Casey Smith,casey.smith@mail.test,411-692-9560,45,30625,62268,1
Riley Lee,riley.lee@demo.org,956-350-2134,33,89622,61418,1
Jordan Smith,jordan.smith@mail.test,679-635-6166,54,39187,44276,1
Taylor Nguyen,taylor.nguyen@demo.org,774-936-7136,38,45929,56550,1
Alex Nguyen,alex.nguyen@demo.org,565-268-3346,32,71892,74552,1
Alex Lee,alex.lee@demo.org,495-402-9252,34,30539,48352,1
Jordan Patel,jordan.patel@demo.org,513-360-5426,67,66630,59512,1
Taylor Lee,taylor.lee@demo.org,727-537-2629,54,19215,45953,1
Taylor Kim,taylor.kim@demo.org,503-702-2361,30,49385,42242,1
Casey Garcia,casey.garcia@demo.org,749-838-5370,36,97580,58727,1
Casey Patel,casey.patel@mail.test,363-642-2993,47,87462,62607,1
Casey Lee,casey.lee@example.com,802-949-1690,62,35008,89908,1
Casey Smith,casey.smith@example.com,693-689-7864,35,58928,53168,1
Casey Patel,casey.patel@mail.test,272-708-8786,31,93096,59247,1
Casey Patel,casey.patel@mail.test,494-568-5027,53,99876,41249,1
Riley Lee,riley.lee@mail.test,995-893-5744,53,34976,69184,1
Taylor Patel,taylor.patel@mail.test,767-386-3817,37,37626,65971,1
Casey Smith,casey.smith@demo.org,644-769-5458,69,69789,82326,1
Taylor Nguyen,taylor.nguyen@example.com,322-387-9933,36,14700,76674,1
Taylor Patel,taylor.patel@demo.org,879-619-6738,62,73645,65271,1
Sam Nguyen,sam.nguyen@example.com,748-534-8697,61,83396,52949,1
Riley Smith,riley.smith@example.com,262-861-8352,24,17526,63070,1
Casey Lee,casey.lee@mail.test,404-971-9326,61,49500,58335,1
Alex Garcia,alex.garcia@demo.org,772-287-9003,21,78049,74301,1
Jordan Patel,jordan.patel@mail.test,406-328-4074,51,83366,72393,1
Alex Garcia,alex.garcia@demo.org,953-320-8552,19,90317,55554,1
Riley Smith,riley.smith@example.com,813-237-6103,22,69117,38070,1
Jordan Patel,jordan.patel@mail.test,844-913-3068,27,66096,80001,1
Riley Nguyen,riley.nguyen@mail.test,441-654-3668,49,17910,68728,1
Taylor Kim,taylor.kim@example.com,502-795-1802,59,91383,55208,1
Jordan Garcia,jordan.garcia@example.com,268-328-1195,58,81185,68143,1
Taylor Patel,taylor.patel@example.com,339-643-3330,30,60248,61123,1
Alex Garcia,alex.garcia@mail.test,511-945-4606,56,84656,79779,1
Alex Patel,alex.patel@demo.org,864-476-1060,22,11951,31053,1
Jordan Lee,jordan.lee@mail.test,518-251-4927,27,75212,54042,1
Jordan Nguyen,jordan.nguyen@demo.org,352-948-3591,27,85701,83986,1
Casey Garcia,casey.garcia@mail.test,766-588-7121,55,89888,68448,1
Riley Kim,riley.kim@mail.test,376-561-3854,44,85282,86589,1
Casey Kim,casey.kim@example.com,296-412-7972,68,51954,41673,1
Riley Smith,riley.smith@demo.org,336-205-3594,38,99719,76083,1
Casey Patel,casey.patel@mail.test,238-861-3472,25,18804,75183,1
Taylor Garcia,taylor.garcia@mail.test,829-460-1086,18,10595,34774,1
Jordan Smith,jordan.smith@example.com,664-275-9143,45,39592,55567,1
Alex Garcia,alex.garcia@example.com,613-925-2700,66,50643,58402,1
Riley Patel,riley.patel@demo.org,798-852-7815,56,72665,35707,1
Riley Kim,riley.kim@mail.test,757-571-2647,31,30823,55881,1
Alex Lee,alex.lee@demo.org,244-600-4687,38,15972,73098,1
Casey Kim,casey.kim@mail.test,796-649-9676,47,25882,54136,1
Riley Smith,riley.smith@demo.org,845-819-5757,38,76394,63632,1
Taylor Nguyen,taylor.nguyen@example.com,957-488-9912,66,81055,63741,1
Jordan Lee,jordan.lee@mail.test,837-434-8081,26,33769,59818,1
Alex Smith,alex.smith@demo.org,698-833-2673,34,35020,49422,1
Jordan Patel,jordan.patel@example.com,314-873-8178,22,52748,69882,1
Riley Lee,riley.lee@example.com,405-878-3294,48,95374,36194,1
Riley Smith,riley.smith@demo.org,758-957-1146,69,54912,60129,1
Alex Patel,alex.patel@mail.test,317-581-5507,57,22879,80782,1
Taylor Kim,taylor.kim@mail.test,863-783-6628,55,43798,53289,1
Sam Nguyen,sam.nguyen@example.com,336-374-4360,60,99826,49090,1
Alex Patel,alex.patel@mail.test,680-218-3242,36,56073,70883,1
Sam Garcia,sam.garcia@mail.test,529-374-6097,53,85791,62451,1
Casey Patel,casey.patel@mail.test,648-553-6618,67,76983,71182,1
Sam Patel,sam.patel@example.com,340-957-2920,50,53005,60577,1
Taylor Nguyen,taylor.nguyen@demo.org,292-438-1204,30,12850,24176,1
Casey Garcia,casey.garcia@mail.test,759-632-5927,31,38400,77699,1
Sam Smith,sam.smith@example.com,516-494-3687,50,21953,91050,1
Casey Smith,casey.smith@example.com,481-216-6388,46,33535,79261,1
Sam Patel,sam.patel@demo.org,524-993-6126,60,85536,6917,1
